Item, quantity, notes
Repeat Robotics 16mm Gearmotor, 2
FingerTech TinyESC, 2
Drive motor mounts, 2
FingerTech Twist Hubs, 4
FingerTech Foam Wheels, 4
FingerTech Servo Mounts, 1 set of two
FingerTech Power Distribution Blocks, 1 set of two
FingerTech JST Power Switch adn Charge Jack, 1
LiPo battery, 1, I use 2 cell 300 mAH
Just 'Cuz Robotics servo, 1
Round servo horn, 1
Transmitter and receiver
FingerTech Superbright LED, 1, Optional unless required at your tournament.
#4 x 1/2 inch wood screws
M2x4mm screws, 4, Used to mount drive motors
3mm shafts, 2
3mm Shaft Collars, 4
3mm x 20mm shoulder bolts, 2
Extra wire
Heat shrink or electrical tape
